timestamp,datetime_obj,queue_depth,servers_active,total_servers,response_time_ms,resource_utilization,is_holiday,hour,day_of_week,sim_time
2024-04-01T00:00:05,,1,0,15,0,0.0,True,0,0,5
2024-04-01T00:00:10,,0,0,15,0,0.0,True,0,0,10
2024-04-01T00:00:15,,0,0,15,0,0.0,True,0,0,15
2024-04-01T00:00:20,,0,0,15,0,0.0,True,0,0,20
2024-04-01T00:00:25,,0,0,15,0,0.0,True,0,0,25
2024-04-01T00:00:30,,0,0,15,0,0.0,True,0,0,30
2024-04-01T00:00:35,,2,0,15,0,0.0,True,0,0,35
2024-04-01T00:00:40,,0,0,15,0,0.0,True,0,0,40
2024-04-01T00:00:45,,0,0,15,0,0.0,True,0,0,45
2024-04-01T00:00:50,,2,0,15,0,0.0,True,0,0,50
2024-04-01T00:00:55,,0,0,15,0,0.0,True,0,0,55
2024-04-01T00:01:00,,0,0,15,0,0.0,True,0,0,60
2024-04-01T00:01:05,,1,0,15,0,0.0,True,0,0,65
2024-04-01T00:01:10,,2,0,15,0,0.0,True,0,0,70
2024-04-01T00:01:15,,2,0,15,0,0.0,True,0,0,75
2024-04-01T00:01:20,,0,0,15,0,0.0,True,0,0,80
2024-04-01T00:01:25,,2,0,15,0,0.0,True,0,0,85
2024-04-01T00:01:30,,2,0,15,0,0.0,True,0,0,90
2024-04-01T00:01:35,,1,0,15,0,0.0,True,0,0,95
2024-04-01T00:01:40,,0,0,15,0,0.0,True,0,0,100
2024-04-01T00:01:45,,0,0,15,0,0.0,True,0,0,105
2024-04-01T00:01:50,,2,0,15,0,0.0,True,0,0,110
2024-04-01T00:01:55,,2,0,15,0,0.0,True,0,0,115
2024-04-01T00:02:00,,2,0,15,0,0.0,True,0,0,120
2024-04-01T00:02:05,,0,0,15,0,0.0,True,0,0,125
2024-04-01T00:02:10,,1,0,15,0,0.0,True,0,0,130
2024-04-01T00:02:15,,2,0,15,0,0.0,True,0,0,135
2024-04-01T00:02:20,,1,0,15,0,0.0,True,0,0,140
2024-04-01T00:02:25,,3,0,15,0,0.0,True,0,0,145
2024-04-01T00:02:30,,1,0,15,0,0.0,True,0,0,150
2024-04-01T00:02:35,,1,0,15,0,0.0,True,0,0,155
2024-04-01T00:02:40,,0,0,15,0,0.0,True,0,0,160
2024-04-01T00:02:45,,0,0,15,0,0.0,True,0,0,165
2024-04-01T00:02:50,,0,0,15,0,0.0,True,0,0,170
2024-04-01T00:02:55,,2,0,15,0,0.0,True,0,0,175
2024-04-01T00:03:00,,0,0,15,0,0.0,True,0,0,180
2024-04-01T00:03:05,,3,0,15,0,0.0,True,0,0,185
2024-04-01T00:03:10,,2,0,15,0,0.0,True,0,0,190
2024-04-01T00:03:15,,1,0,15,0,0.0,True,0,0,195
2024-04-01T00:03:20,,1,0,15,0,0.0,True,0,0,200
2024-04-01T00:03:25,,1,0,15,0,0.0,True,0,0,205
2024-04-01T00:03:30,,1,0,15,0,0.0,True,0,0,210
2024-04-01T00:03:35,,3,0,15,0,0.0,True,0,0,215
2024-04-01T00:03:40,,3,0,15,0,0.0,True,0,0,220
2024-04-01T00:03:45,,0,0,15,0,0.0,True,0,0,225
2024-04-01T00:03:50,,0,0,15,0,0.0,True,0,0,230
2024-04-01T00:03:55,,0,0,15,0,0.0,True,0,0,235
2024-04-01T00:04:00,,0,0,15,0,0.0,True,0,0,240
2024-04-01T00:04:05,,0,0,15,0,0.0,True,0,0,245
2024-04-01T00:04:10,,2,0,15,0,0.0,True,0,0,250
2024-04-01T00:04:15,,1,0,15,0,0.0,True,0,0,255
